Ticker,Total_Trades,Win_Rate_Pct,Net_PnL,Final_Capital,Avg_Days_Held
CLH,110,65.45454545454545,16791091.70119965,16801091.70119965,61.96363636363636
AIFF,119,68.90756302521008,15897530.826610506,15907530.826610506,53.51260504201681
WEYS,175,81.71428571428572,15617733.96915099,15627733.96915099,40.114285714285714
TRNS,165,69.6969696969697,15504961.142081738,15514961.142081738,50.49090909090909
TAYD,133,63.90977443609023,15447112.563190103,15457112.563190103,67.60902255639098
VLGEA,161,80.12422360248446,14072217.280717611,14082217.280717611,57.453416149068325
VSEC,158,75.9493670886076,11351856.156202763,11361856.156202763,45.949367088607595
EXPD,122,84.42622950819673,11334364.100660145,11344364.100660145,53.721311475409834
UVE,75,76.0,10869241.072283784,10879241.072283784,49.74666666666667
ATRO,125,77.60000000000001,10373050.10251182,10383050.10251182,62.904
ICCC,102,64.70588235294117,9829191.820840359,9839191.820840359,81.05882352941177
NTRBW,20,70.0,9209875.786571026,9219875.786571026,43.75
BYRN,74,67.56756756756756,8898635.764112413,8908635.764112413,53.21621621621622
WFCF,63,66.66666666666666,8184335.016670942,8194335.016670942,60.77777777777778
FIEE,61,68.85245901639344,7292547.057554245,7302547.057554245,52.950819672131146
VHC,98,73.46938775510205,6951477.572960079,6961477.572960079,50.08163265306123
SNEX,100,75.0,6855228.860271633,6865228.860271633,51.81
PED,64,57.8125,6209057.322314739,6219057.322314739,79.203125
OPXS,46,69.56521739130434,5954763.734122992,5964763.734122992,62.45652173913044
DIOD,158,67.72151898734177,5922609.051002145,5932609.051002145,63.177215189873415
VBIX,44,61.36363636363637,5818491.756490104,5828491.756490104,66.04545454545455
ELSE,143,67.13286713286713,5707707.608263642,5717707.608263642,62.17482517482517
DLPN,66,60.60606060606061,5445218.854274631,5455218.854274631,66.75757575757575
SYK,144,79.16666666666666,5322242.889164224,5332242.889164224,47.4375
VRME,91,60.43956043956044,5312132.449105859,5322132.449105859,59.08791208791209
DWSN,106,65.09433962264151,5139386.226936325,5149386.226936325,56.10377358490566
DJCO,176,74.43181818181817,4641987.377893448,4651987.377893448,35.1875
STRL,125,72.0,4584464.921356916,4594464.921356916,49.888
TDS,135,66.66666666666666,4276311.234023664,4286311.234023664,52.50370370370371
UAMY,74,64.86486486486487,4124760.7694256753,4134760.7694256753,66.33783783783784
KELYB,231,68.3982683982684,3927569.339316368,3937569.339316368,30.51948051948052
HWKN,123,73.98373983739837,3918042.8699584007,3928042.8699584007,60.77235772357724
WULF,131,70.99236641221374,3917406.0585885644,3927406.0585885644,43.267175572519086
INOD,86,65.11627906976744,3709745.7628252357,3719745.7628252357,73.81395348837209
TMP,111,79.27927927927928,3565984.233987093,3575984.233987093,57.72072072072072
MAYS,211,76.77725118483413,3544472.5936641693,3554472.5936641693,34.829383886255926
WOR,156,73.07692307692307,3474134.064377278,3484134.064377278,47.493589743589745
INTU,101,82.17821782178217,3396048.7293565273,3406048.7293565273,46.28712871287129
YHGJ,69,68.11594202898551,3365746.148322344,3375746.148322344,65.14492753623189
BGMSP,106,73.58490566037736,3302897.778567016,3312897.778567016,32.528301886792455
BMRA,112,66.96428571428571,3190195.0970879793,3200195.0970879793,79.15178571428571
CIIT,49,67.3469387755102,3059236.4356907383,3069236.4356907383,57.183673469387756
POWL,139,73.38129496402878,3011668.8021647036,3021668.8021647036,60.194244604316545
SKE,74,67.56756756756756,3005913.43533808,3015913.43533808,52.7972972972973
SENEB,214,70.09345794392523,2935126.104642868,2945126.104642868,35.242990654205606
JBHT,130,74.61538461538461,2888002.2854602337,2898002.2854602337,50.56923076923077
AAON,90,78.88888888888889,2795191.445274517,2805191.445274517,53.08888888888889
BEN,130,73.07692307692307,2751693.047615381,2761693.047615381,50.61538461538461
RDIB,131,72.51908396946564,2748421.174171686,2758421.174171686,34.87022900763359
CASY,129,79.84496124031007,2661506.3295232058,2671506.3295232058,48.89147286821706
AMAT,141,75.88652482269504,2585581.1695402637,2595581.1695402637,50.9645390070922
HCSG,127,79.52755905511812,2555836.2965920717,2565836.2965920717,50.354330708661415
LCII,121,75.20661157024794,2546114.642580852,2556114.642580852,55.30578512396694
GNSS,96,63.541666666666664,2486277.4877932966,2496277.4877932966,67.05208333333333
COSM,53,60.37735849056604,2388072.096813798,2398072.096813798,62.64150943396226
SNFCA,131,73.2824427480916,2328722.947812915,2338722.947812915,52.0
BK,168,77.97619047619048,2292338.145186126,2302338.145186126,47.67857142857143
TTEK,99,77.77777777777779,2271761.671065569,2281761.671065569,48.39393939393939
CACI,134,70.8955223880597,2264046.548167944,2274046.548167944,51.82835820895522
EMR,166,80.12048192771084,2253751.66799137,2263751.66799137,53.25903614457831
NBN,156,78.2051282051282,2190974.4239013195,2200974.4239013195,39.81410256410256
WERN,121,80.16528925619835,2187798.9805261493,2197798.9805261493,56.0
CVV,98,62.244897959183675,2183392.547863126,2193392.547863126,55.09183673469388
SCSC,107,71.02803738317756,2167949.5553159714,2177949.5553159714,49.271028037383175
FISV,116,81.89655172413794,1996641.9745559394,2006641.9745559394,49.775862068965516
HEI,155,72.25806451612902,1916832.0356042832,1926832.0356042832,46.57419354838709
STT,157,77.70700636942675,1891686.3162814379,1901686.3162814379,41.732484076433124
MXC,90,65.55555555555556,1864484.8079769611,1874484.8079769611,77.26666666666667
EU,50,66.0,1838281.5627541095,1848281.5627541095,55.1
BCPC,123,77.23577235772358,1805333.2233774662,1815333.2233774662,48.71544715447155
KO,192,81.25,1797793.427538868,1807793.427538868,49.90625
BRID,122,67.21311475409836,1774424.411306247,1784424.411306247,74.27049180327869
ADI,129,72.86821705426357,1728355.155558288,1738355.155558288,55.98449612403101
SOTK,78,71.7948717948718,1718498.7143266797,1728498.7143266797,66.02564102564102
INTG,176,69.88636363636364,1718156.9063045382,1728156.9063045382,52.34090909090909
SCNX,50,68.0,1638207.1900294423,1648207.1900294423,58.62
RGEN,115,68.69565217391305,1606137.2835863829,1616137.2835863829,60.71304347826087
IP,211,73.45971563981043,1601402.0673508644,1611402.0673508644,51.51658767772512
ABT,132,78.78787878787878,1577113.4279794693,1587113.4279794693,46.14393939393939
JNJ,191,73.82198952879581,1558912.245732028,1568912.245732028,49.78534031413613
ABM,147,71.42857142857143,1558882.2970736027,1568882.2970736027,50.40136054421769
HGBL,108,57.407407407407405,1551357.387301471,1561357.387301471,64.05555555555556
AGI,71,80.28169014084507,1541705.91486907,1551705.91486907,49.690140845070424
CMCL,126,62.698412698412696,1492055.5610237122,1502055.5610237122,66.84920634920636
CVX,185,78.91891891891892,1446153.8628193438,1456153.8628193438,51.383783783783784
CHCO,111,81.98198198198197,1430292.3446295261,1440292.3446295261,60.11711711711712
MMM,193,74.61139896373057,1377522.868295759,1387522.868295759,52.766839378238345
MRTN,117,75.21367521367522,1353502.4305735677,1363502.4305735677,53.2991452991453
PBHC,124,77.41935483870968,1336364.9313713312,1346364.9313713312,40.41935483870968
CWT,154,67.53246753246754,1330564.794900477,1340564.794900477,56.396103896103895
ROL,129,79.06976744186046,1306243.9612704962,1316243.9612704962,48.751937984496124
AVD,132,69.6969696969697,1290375.342785716,1300375.342785716,52.166666666666664
HD,124,75.80645161290323,1269589.6488245502,1279589.6488245502,49.45161290322581
J,150,73.33333333333333,1269217.3078013062,1279217.3078013062,54.61333333333334
BMI,179,73.74301675977654,1267644.847168237,1277644.847168237,54.40782122905028
NEN,135,74.81481481481481,1264756.8915009797,1274756.8915009797,41.577777777777776
MGRC,110,74.54545454545455,1262893.370229423,1272893.370229423,58.54545454545455
RPM,141,73.04964539007092,1261470.3749509752,1271470.3749509752,50.141843971631204
FAST,116,75.86206896551724,1233308.5025044437,1243308.5025044437,46.4051724137931
FRPH,125,80.80000000000001,1230777.827453494,1240777.827453494,53.752
CORT,71,74.64788732394366,1229887.5197238326,1239887.5197238326,52.33802816901409
NPK,156,79.48717948717949,1228808.7943153381,1238808.7943153381,47.52564102564103
EW,92,86.95652173913044,1212832.0121719837,1222832.0121719837,39.29347826086956
CHRW,88,84.0909090909091,1190720.3011996746,1200720.3011996746,49.61363636363637
NUE,151,74.83443708609272,1186290.2777122557,1196290.2777122557,48.40397350993378
STE,104,75.96153846153845,1162497.6276743412,1172497.6276743412,43.07692307692308
GRC,139,74.82014388489209,1162195.1683775783,1172195.1683775783,54.32374100719424
ADP,132,77.27272727272727,1111672.6301096082,1121672.6301096082,46.84848484848485
HIHO,85,65.88235294117646,1084750.1467360258,1094750.1467360258,73.14117647058823
HSTM,79,75.9493670886076,1046946.6217003465,1056946.6217003465,58.54430379746835
WDFC,155,69.6774193548387,1033306.7251996994,1043306.7251996994,49.65806451612903
NHC,113,77.87610619469027,1032040.5006968379,1042040.5006968379,56.283185840707965
LFMD,51,64.70588235294117,1029607.3948342502,1039607.3948342502,72.76470588235294
MEI,128,67.1875,1014564.9169832468,1024564.9169832468,52.4921875
SIGI,131,77.09923664122137,1014436.935190767,1024436.935190767,52.98473282442748
ENB,151,76.15894039735099,1012300.1314202398,1022300.1314202398,39.71523178807947
ALNT,132,71.96969696969697,1007881.1384570599,1017881.1384570599,64.56818181818181
PBI,165,72.72727272727273,992339.6120326817,1002339.6120326817,54.30909090909091
TRST,102,75.49019607843137,989923.1466593146,999923.1466593146,70.91176470588235
USLM,144,71.52777777777779,987162.2110348344,997162.2110348344,60.63194444444444
LSCC,97,74.22680412371135,982581.7511076927,992581.7511076927,59.391752577319586
LNN,124,76.61290322580645,972667.2885370255,982667.2885370255,49.306451612903224
STRA,104,79.8076923076923,961915.2818050385,971915.2818050385,44.125
LRCX,121,77.68595041322314,951446.0517081469,961446.0517081469,53.107438016528924
GCBC,92,84.78260869565217,941123.5753618479,951123.5753618479,46.91304347826087
ORCL,108,76.85185185185185,927002.2183167189,937002.2183167189,54.78703703703704
DSGR,141,73.04964539007092,910542.0630054474,920542.0630054474,57.99290780141844
USPH,94,79.7872340425532,902860.2003889084,912860.2003889084,57.61702127659574
ETD,102,75.49019607843137,885577.5649724007,895577.5649724007,53.745098039215684
AFL,123,76.42276422764228,884219.2199554034,894219.2199554034,52.78048780487805
MNST,108,66.66666666666666,877930.5210673083,887930.5210673083,58.888888888888886
BBLGW,18,66.66666666666666,877565.1239371151,887565.1239371151,47.833333333333336
CB,102,81.37254901960785,877011.6982216835,887011.6982216835,48.8235294117647
LFVN,85,64.70588235294117,873427.6975178123,883427.6975178123,71.96470588235294
ECL,165,77.57575757575758,868622.3842222095,878622.3842222095,46.99393939393939
CKX,106,76.41509433962264,867291.7526246309,877291.7526246309,46.41509433962264
GILD,99,75.75757575757575,862454.4355170131,872454.4355170131,55.111111111111114
LLY,163,71.77914110429448,860645.9856439233,870645.9856439233,48.66257668711656
KNX,88,79.54545454545455,855541.6204900742,865541.6204900742,59.61363636363637
CTO,157,70.06369426751591,854544.0743879676,864544.0743879676,49.49044585987261
AFG,122,77.8688524590164,852529.4383434057,862529.4383434057,53.114754098360656
GNTX,137,70.8029197080292,852127.9410475455,862127.9410475455,54.70802919708029
DXPE,98,74.48979591836735,848089.2252535224,858089.2252535224,44.52040816326531
THFF,97,80.41237113402062,845496.7009370327,855496.7009370327,59.381443298969074
CTGO,62,70.96774193548387,836803.1175076962,846803.1175076962,48.53225806451613
COFS,108,77.77777777777779,831378.3610095978,841378.3610095978,34.907407407407405
BTI,130,76.92307692307693,827475.2392728552,837475.2392728552,54.37692307692308
ASB,122,72.95081967213115,819730.0698502064,829730.0698502064,57.13934426229508
IPAR,118,71.1864406779661,818335.0533199906,828335.0533199906,53.83050847457627
SRXH,45,51.11111111111111,809265.5147006214,819265.5147006214,67.4888888888889
ANIX,130,62.30769230769231,802844.4559895992,812844.4559895992,68.86153846153846
SU,131,71.7557251908397,796825.796842387,806825.796842387,52.16030534351145
BMY,155,75.48387096774194,795277.0669421405,805277.0669421405,52.07741935483871
LEN,136,75.0,772995.1156304777,782995.1156304777,56.31617647058823
OMEX,83,66.26506024096386,768165.2420786619,778165.2420786619,61.78313253012048
WMT,147,77.55102040816327,767065.5637961985,777065.5637961985,53.59863945578231
HTLD,108,74.07407407407408,764216.3104918748,774216.3104918748,61.9537037037037
FUL,177,72.88135593220339,763691.3363084197,773691.3363084197,49.3728813559322
FN,52,82.6923076923077,752172.5952796936,762172.5952796936,40.86538461538461
SXI,169,72.18934911242604,728880.7692905068,738880.7692905068,53.71597633136095
MCS,137,71.53284671532847,724792.557017982,734792.557017982,59.08029197080292
MO,176,74.43181818181817,723989.6706071334,733989.6706071334,49.69318181818182
XOM,162,75.92592592592592,723841.430975765,733841.430975765,52.98148148148148
AGX,108,75.92592592592592,707837.0081578493,717837.0081578493,46.80555555555556
LOAN,74,75.67567567567568,706219.8856624365,716219.8856624365,64.36486486486487
EBF,119,76.47058823529412,702769.6779673696,712769.6779673696,61.1764705882353
CZNC,100,79.0,701433.9191627502,711433.9191627502,51.97
UNP,135,77.03703703703704,701123.8267911673,711123.8267911673,48.8962962962963
NWN,166,72.28915662650603,698276.208476901,708276.208476901,51.596385542168676
MYE,152,69.73684210526315,696204.5771588981,706204.5771588981,50.453947368421055
FBNC,108,69.44444444444444,692424.9690746665,702424.9690746665,58.55555555555556
FFIN,82,75.60975609756098,691842.5514512956,701842.5514512956,65.26829268292683
EGY,107,66.35514018691589,690052.1495684832,700052.1495684832,62.046728971962615
ODYS,30,73.33333333333333,689274.8130731583,699274.8130731583,34.666666666666664
WTRG,123,75.60975609756098,687751.2382730246,697751.2382730246,54.03252032520325
QXO,46,71.73913043478261,687572.7905464172,697572.7905464172,56.95652173913044
SXT,131,76.33587786259542,681247.2622050047,691247.2622050047,50.31297709923664
PNRG,183,65.02732240437157,679918.0023231506,689918.0023231506,42.12021857923497
CALM,87,78.16091954022988,676751.517308116,686751.517308116,52.666666666666664
DIT,105,65.71428571428571,673933.3564782143,683933.3564782143,59.82857142857143
IDXX,99,81.81818181818183,673846.0726017952,683846.0726017952,47.07070707070707
VALU,108,71.29629629629629,673824.1892766953,683824.1892766953,73.0925925925926
D,134,81.34328358208955,672939.275788933,682939.275788933,47.440298507462686
FONR,124,60.483870967741936,659821.8419541717,669821.8419541717,82.25806451612904
CVSA,118,75.42372881355932,654852.5380225182,664852.5380225182,45.59322033898305
UL,151,76.15894039735099,651939.4998862147,661939.4998862147,46.83443708609271
IMTE,31,67.74193548387096,644257.8760604858,654257.8760604858,65.19354838709677
NXPL,45,64.44444444444444,640266.2900200486,650266.2900200486,61.71111111111111
BP,199,74.87437185929649,640161.1090915985,650161.1090915985,50.80904522613066
TJX,104,79.8076923076923,636827.9238666445,646827.9238666445,50.49038461538461
GPC,136,74.26470588235294,632909.040037632,642909.040037632,46.80882352941177
RTX,182,71.97802197802197,631231.4273671731,641231.4273671731,52.032967032967036
AVT,170,74.70588235294117,622434.1086518168,632434.1086518168,52.0
MUX,129,58.139534883720934,621459.8178759217,631459.8178759217,71.89147286821705
BDX,154,73.37662337662337,616188.8703906536,626188.8703906536,51.46103896103896
CTSH,79,72.15189873417721,609275.3692890108,619275.3692890108,46.392405063291136
SENEA,90,77.77777777777779,605626.3896455765,615626.3896455765,49.94444444444444
